rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Conjunction	and	We've got people represented from all different types of races across the entire map here	only looking at race doesn't really contribute to our development of diversity
Explicit	Contingency.Condition.Arg2-as-cond	if	we need to start to think about diversity in a new way	we're trying to use diversity as a way to tackle some of our more intractable problems
AltLex	Contingency.Purpose.Arg2-as-goal	as a way	to use diversity	as a way to tackle some of our more intractable problems
Implicit	Contingency.Purpose.Arg2-as-goal	in order	to create interventions	to start to reshape our cities in a new way
Explicit	Expansion.Conjunction	and	we have the ability to create interventions to start to reshape our cities in a new way	I believe that if we have that capability, we may even bear some responsibility to do so
Implicit	Contingency.Cause+Belief.Result+Belief	therefore	we have the ability to create interventions to start to reshape our cities in a new way	and I believe that if we have that capability, we may even bear some responsibility to do so
Explicit	Contingency.Condition.Arg2-as-cond	if	we may even bear some responsibility to do so	we have that capability
Explicit	Comparison.Contrast	but	some might say that it is a geographical area or a collection of streets and buildings	I believe that a city is the sum of the relationships of the people that live there
Explicit	Expansion.Conjunction	and	I believe that a city is the sum of the relationships of the people that live there	I believe that if we can start to document those relationships in a real way then maybe we have a real shot at creating those kinds of cities that we'd like to have
Explicit	Contingency.Condition.Arg2-as-cond	if	then maybe we have a real shot at creating those kinds of cities that we'd like to have	we can start to document those relationships in a real way
