rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Comparison.Concession.Arg2-as-denier	o	Tai vyksta dėl mūsų pasirinkimo	galėtų ir nevykti
Explicit	Expansion.Conjunction	ir	Tai vyksta dėl mūsų pasirinkimo, o galėtų ir nevykti	pagalvoji, ką darome su šiais duomenimis, tai lyg paimtume teleskopą ir nukreipę į miestą žiūrėtume lyg į mokyklos valgyklą, ir matytume kaip visi susiskirstę per stalus
Explicit	Contingency.Condition.Arg2-as-cond	jei	tai lyg paimtume teleskopą ir nukreipę į miestą žiūrėtume lyg į mokyklos valgyklą, ir matytume kaip visi susiskirstę per stalus	pagalvoji, ką darome su šiais duomenimis
Implicit	Expansion.Level-of-detail.Arg2-as-detail	apskritai	pagalvoji	ką darome su šiais duomenimis
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Kitas dalykas, kurį supratome	rasė yra prastas būdas matuoti įvairovę
Implicit	Expansion.Conjunction	ir	Turime visų rasių žmones pavaizduotus šiame žemėlapyje	žiūrėti tik į rasę nepadeda bandant prisidėti prie įvairumo vystymo
Implicit	Temporal.Synchronous	kai	žiūrėti tik į rasę nepadeda	bandant prisidėti prie įvairumo vystymo
Implicit	Contingency.Cause.Result	todėl	Bandome įvairumą naudoti sprendžiant kai kurias sudėtingesnes problemas	turime pradėti kitaip galvoti apie įvairumą
Explicit	Expansion.Conjunction	ir	mes turime galimybę pradėti naujai formuoti savo miestus	manau, kad jei turime galimybę, netgi galime ir prisimti atsakomybę tai darydami
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	manau	turime galimybę, netgi galime ir prisimti atsakomybę tai darydami
Explicit	Contingency.Condition.Arg2-as-cond	jei	netgi galime ir prisimti atsakomybę tai darydami	turime galimybę
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Kai kas pasakytų	tai geografinė vieta arba gatvių ir pastatų rinkinys
Explicit	Comparison.Contrast	bet	Kai kas pasakytų, kad tai geografinė vieta arba gatvių ir pastatų rinkinys	aš tikiu, kad miestas yra suma visų ryšių tarp ten gyvenančių žmonių
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	aš tikiu	miestas yra suma visų ryšių tarp ten gyvenančių žmonių
Explicit	Expansion.Conjunction	ir	aš tikiu, kad miestas yra suma visų ryšių tarp ten gyvenančių žmonių	tikiu, kad jei galime pradėti realiai tuos ryšius dokumentuoti, galbūt išties galėtume sukurti tokius miestus, kokių iš tikrųjų norime
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	tikiu	galime pradėti realiai tuos ryšius dokumentuoti
Explicit	Contingency.Condition.Arg2-as-cond	jei	galbūt išties galėtume sukurti tokius miestus, kokių iš tikrųjų norime	galime pradėti realiai tuos ryšius dokumentuoti
